Time, Value
21,82778,0
21,84188,0
21,85573,0
21,86952,0
21,88356,0
21,89767,0
21,91148,0
21,92533,0
21,93938,0
21,95299,0
21,9671,0
21,98103,0
21,99486,0
22,00868,0
22,02274,0
22,03676,0
22,05115,0
22,06465,0
22,07842,0
22,09219,0
22,10631,0
22,12012,0
22,13427,0
22,14792,0
22,16217,0
22,17609,0
22,18974,0
22,20363,0
22,21769,0
22,23135,0
22,24557,0
22,2595,0
22,27658,0
22,28749,0
22,30127,0
22,31507,0
22,32886,0
22,34302,0
22,35701,0
22,37075,0
22,38476,0
22,39874,0
22,41246,0
22,42664,0
22,44053,0
22,45431,0
22,46817,0
22,48223,0
22,49617,0
22,50997,0
22,52409,0
22,53795,0
22,5517,0
22,56579,0
22,57983,0
22,59363,0
22,60756,0
22,62143,0
22,63547,0
22,64916,0
22,66324,0
22,67729,0
22,69108,0
22,70499,0
22,7195,0
22,73283,0
22,74679,0
22,76071,0
22,77475,0
22,78866,0
22,80252,0
22,81643,0
22,83026,0
22,84429,0
22,85831,0
22,87193,0
22,88617,0
22,90001,0
22,91391,0
22,92763,0
22,94185,0
22,95569,0
22,96966,0
22,98372,0
22,99745,0
23,01129,0
23,02533,0
23,03925,0
23,05302,0
23,06761,0
23,0812,0
23,09496,0
23,10872,0
23,12277,0
23,13674,0
23,15084,0
23,16459,0
23,1785,0
23,19226,0
23,20639,0
23,22025,0
23,2341,0
23,24788,0
23,26194,0
23,276,0
23,28986,0
23,30378,0
23,31778,0
23,33151,0
23,34562,0
23,35958,0
23,37332,0
23,3874,0
23,40135,0
23,41532,0
23,429,0
23,44308,0
23,45694,0
23,47081,0
23,48492,0
23,49871,0
23,5125,0
23,52667,0
23,54042,0
23,55431,0
23,5682,0
23,58229,0
23,59623,0
23,60997,0
23,62401,0
23,63808,0
23,65186,0
23,66595,0
23,67969,0
23,69352,0
23,70764,0
23,72151,0
23,73543,0
23,74957,0
23,76328,0
23,77727,0
23,79095,0
23,80504,0
23,81895,0
23,83273,0
23,84683,0
23,86077,0
23,87471,0
23,8884,0
23,90254,0
23,91651,0
23,93032,0
23,94438,0
23,95836,0
23,97209,0
23,98617,0
24,0001,0
24,01403,0
24,02781,0
24,0419,0
24,05586,0
24,06958,0
24,08368,0
24,09766,0
24,11136,0
24,12543,0
24,13937,0
24,15314,0
24,16747,0
24,18121,0
24,19505,0
24,20891,0
24,22291,0
24,23684,0
24,2507,0
24,26476,0
24,2787,0
24,29249,0
24,30656,0
24,32046,0
24,33456,0
24,34818,0
24,36234,0
24,37619,0
24,39008,0
24,40407,0
24,41805,0
24,4318,0
24,44576,0
24,45958,0
24,47325,0
24,48716,0
24,50115,0
24,51489,0
24,52854,0
24,54269,0
24,55662,0
24,57037,0
24,58451,0
24,59853,0
24,61221,0
24,62618,0
24,64022,0
24,65404,0
24,66786,0
24,68201,0
24,69594,0
24,70968,0
24,72378,0
24,73766,0
24,75152,0
24,76549,0
24,77942,0
24,79325,0
24,80729,0
24,82125,0
24,83517,0
24,84897,0
24,86297,0
24,87694,0
24,89075,0
24,90475,0
24,9187,0
24,93249,0
24,94653,0
24,96046,0
24,97447,0
24,988,0
25,00211,0
25,01609,0
25,02982,0
25,04385,0
25,05784,0
25,07164,0
25,08572,0
25,09972,0
25,11349,0
25,12759,0
25,14146,0
25,15526,0
25,16906,0
25,18339,0
25,19716,0
25,21081,0
25,22491,0
25,23877,0
25,25273,0
25,26677,0
25,28069,0
25,2946,0
25,30846,0
25,32239,0
25,33627,0
25,35011,0
25,36421,0
25,37811,0
25,39187,0
25,4059,0
25,41984,0
25,43361,0
25,4476,0
25,46158,0
25,47547,0
25,4892,0
25,50337,0
25,51729,0
25,53104,0
25,54523,0
25,55909,0
25,57285,0
25,58695,0
25,60079,0
25,61472,0
25,62847,0
25,64255,0
25,65652,0
25,67031,0
25,68443,0
25,69833,0
25,71211,0
25,72611,0
25,74019,0
25,75403,0
25,76779,0
25,78191,0
25,79576,0
25,80967,0
25,8237,0
25,83756,0
25,85138,0
25,86541,0
25,87939,0
25,89321,0
25,90728,0
25,92126,0
25,93507,0
25,94891,0
25,96301,0
25,97696,0
25,99077,0
26,00479,0
26,0187,0
26,03247,0
26,04685,0
26,06055,0
26,07446,0
26,0881,0
26,10224,0
26,11623,0
26,12991,0
26,14412,0
26,15796,0
26,17172,0
26,18589,0
26,20016,0
26,21383,0
26,22749,0
26,24165,0
26,25548,0
26,26925,0
26,28346,0
26,29733,0
26,31103,0
26,32508,0
26,33914,0
26,35291,0
26,36689,0
26,38088,0
26,39481,0
26,40854,0
26,42268,0
26,43657,0
26,45035,0
26,46439,0
26,47834,0
26,49218,0
26,50634,0
26,52012,0
26,53404,0
26,54814,0
26,56208,0
26,5759,0
26,58976,0
26,60375,0
26,6176,0
26,63135,0
26,64557,0
26,65948,0
26,67322,0
26,68729,0
26,70132,0
26,71519,0
26,72888,0
26,74305,0
26,75697,0
26,77069,0
26,78474,0
26,79886,0
26,81261,0
26,82669,0
26,84059,0
26,8545,0
26,86827,0
26,88235,0
26,89618,0
26,9101,0
26,9241,0
26,93802,0
26,95185,0
26,96589,0
26,97977,0
26,99365,0
27,00778,0
27,02163,0
27,0355,0
27,04927,0
27,06341,0
27,07728,0
27,09092,0
27,10519,0
27,11912,0
27,13285,0
27,14705,0
27,161,0
27,17476,0
27,18856,0
27,20258,0
27,21679,0
27,23035,0
27,24446,0
27,25826,0
27,27213,0
27,28611,0
27,30004,0
27,31399,0
27,32767,0
27,34182,0
27,35577,0
27,36951,0
27,38365,0
27,39757,0
27,41145,0
27,42556,0
27,43941,0
27,45315,0
27,4672,0
27,4812,0
27,49507,0
27,50885,0
27,52288,0
27,5368,0
27,55062,0
27,56467,0
27,57861,0
27,5926,0
27,60645,0
27,62036,0
27,63431,0
27,64816,0
27,6622,0
27,67625,0
27,68995,0
27,70387,0
27,71791,0
27,73177,0
27,74578,0
